,State,Year,Quater,District,Registered_user,App_opening,id
342,Arunanchal Pradesh,2018,Q1,Upper Subansiri District,572,0,12
343,Arunanchal Pradesh,2018,Q1,Tawang District,1525,0,12
344,Arunanchal Pradesh,2018,Q1,Namsai District,737,0,12
345,Arunanchal Pradesh,2018,Q2,Lower Subansiri District,724,0,12
346,Arunanchal Pradesh,2018,Q2,Tirap District,856,0,12
347,Arunanchal Pradesh,2018,Q2,Papum Pare District,11418,0,12
348,Arunanchal Pradesh,2018,Q2,Anjaw District,410,0,12
349,Arunanchal Pradesh,2018,Q2,Lower Siang District,494,0,12
350,Arunanchal Pradesh,2018,Q2,Dibang Valley District,112,0,12
351,Arunanchal Pradesh,2018,Q2,West Kameng District,3442,0,12
352,Arunanchal Pradesh,2018,Q2,Shi Yomi District,80,0,12
353,Arunanchal Pradesh,2018,Q2,East Kameng District,343,0,12
354,Arunanchal Pradesh,2018,Q2,Lohit District,1898,0,12
355,Arunanchal Pradesh,2018,Q2,Lepa Rada District,318,0,12
356,Arunanchal Pradesh,2018,Q2,Lower Dibang Valley District,893,0,12
357,Arunanchal Pradesh,2018,Q2,Longding District,412,0,12
358,Arunanchal Pradesh,2018,Q2,West Siang District,1224,0,12
359,Arunanchal Pradesh,2018,Q2,Kamle District,37,0,12
360,Arunanchal Pradesh,2018,Q2,Upper Siang District,481,0,12
361,Arunanchal Pradesh,2018,Q2,Kurung Kumey District,153,0,12
362,Arunanchal Pradesh,2018,Q2,Siang District,293,0,12
363,Arunanchal Pradesh,2018,Q2,Kra Daadi District,144,0,12
364,Arunanchal Pradesh,2018,Q2,Changlang District,2014,0,12
365,Arunanchal Pradesh,2018,Q2,Pakke Kessang District,66,0,12
366,Arunanchal Pradesh,2018,Q2,East Siang District,2646,0,12
367,Arunanchal Pradesh,2018,Q2,Upper Subansiri District,883,0,12
368,Arunanchal Pradesh,2018,Q2,Tawang District,2266,0,12
369,Arunanchal Pradesh,2018,Q2,Namsai District,1276,0,12
370,Arunanchal Pradesh,2018,Q3,Lower Subansiri District,1033,0,12
371,Arunanchal Pradesh,2018,Q3,Tirap District,1226,0,12
372,Arunanchal Pradesh,2018,Q3,Papum Pare District,16009,0,12
373,Arunanchal Pradesh,2018,Q3,Anjaw District,542,0,12
374,Arunanchal Pradesh,2018,Q3,Lower Siang District,717,0,12
375,Arunanchal Pradesh,2018,Q3,Dibang Valley District,145,0,12
376,Arunanchal Pradesh,2018,Q3,West Kameng District,4765,0,12
377,Arunanchal Pradesh,2018,Q3,Shi Yomi District,118,0,12
378,Arunanchal Pradesh,2018,Q3,East Kameng District,521,0,12
379,Arunanchal Pradesh,2018,Q3,Lohit District,2612,0,12
380,Arunanchal Pradesh,2018,Q3,Lepa Rada District,431,0,12
381,Arunanchal Pradesh,2018,Q3,Lower Dibang Valley District,1286,0,12
382,Arunanchal Pradesh,2018,Q3,Longding District,644,0,12
383,Arunanchal Pradesh,2018,Q3,West Siang District,1652,0,12
384,Arunanchal Pradesh,2018,Q3,Kamle District,65,0,12
385,Arunanchal Pradesh,2018,Q3,Upper Siang District,646,0,12
